PMID,Title,Abstract,Journal,Year
40522663,Public Water Arsenic and Birth Outcomes in the Environmental Influences on Child Health Outcomes Cohort.,"Inorganic arsenic is associated with adverse birth outcomes, but evidence is limited for public water concentrations (modifiable by federal regulatory action) in US populations.",JAMA network open,2025
40467587,"Prenatal exposure to trace elements impacts mother-infant gut microbiome, metabolome and resistome during the first year of life.","Infancy is a critical window for the colonization of gut microbiome. However, xenobiotic impacts on gut microbiome development in early life remain poorly understood. Here, we recruit 146 mother-infant pairs and collect stool samples at 3, 6, and 12 months after delivery for amplicon sequencing (N = 353), metagenomics (N = 65), and metabolomics (N = 198). Trace elements in maternal hair samples (N = 119) affect diversity and composition of the infant gut microbiome. Shannon diversity in 3 month-old infants is correlated positively with selenium and negatively with copper, and relative abundance of Bifidobacterium increases under high exposure to aluminum and manganese. During the first year of life, infants and their paired mothers have distinct microbial diversity and composition, and their bacterial community structures gradually approach. here are 56 differential metabolites between the first and second visit and 515 differential metabolites between the second and third visit. The typical profile of antibiotic resistance genes (ARGs) significantly differs between infants and their mothers. High levels of copper and arsenic exposure may induce the enrichment of ARGs in the infant gut. Our findings highlight the dynamics of the gut microbiome, metabolites, and ARG profiles of mother-infant pairs after delivery, associated with prenatal exposure to trace elements.",Nature communications,2025
40447179,"Prenatal arsenic exposure causes cognitive dysfunction in offspring through KDM5-regulated reprogramming of autophagy in developing brain, an effect attenuated by alpha-ketoglutarate.","Prenatal exposure to arsenic has lasting health effects on the developing fetus, including an increased risk of neurological damage in the offspring during adulthood. Epigenetics may be involved in the pathogenic process, but the underlying mechanisms remain unclear. Autophagy, which is involved in nearly all steps of neurodevelopment, is regulated by histones and can be inherited across generations. In the study, we investigated the effects of prenatal arsenic exposure on cognitive function in offspring mice. Dams were exposed to 0, 0.2, 2, or 20 ppm arsenic or to a mixture of 20 ppm arsenic and 1 % α-ketoglutatate (α-KG) through drinking water during pregnancy. Our data showed that prenatal arsenic exposure led to memory impairment in adult male offspring, but not in females. RNA sequencing (RNA-seq) was used to explore differences in gene expression. Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) analyses highlighted changes in the activity of lysine demethylase 5 (KDM5) and autophagy pathways. Subsequent experiments revealed that arsenic downregulated the levels of α-KG, reduced the levels of KDM5 activity in the brains of male offspring at postnatal day (PND) 1, and led to elevated levels of trimethylation marks on histone 3 lysine 4 (H3K4me3). Furthermore, H3K4me3 facilitated the transcription of Beclin1 mRNA and increased its expression, resulting in excessive neuronal autophagy. As a cofactor required for KDM5 activity, α-KG, supplemented prenatally, restored KDM5 activity in the brains of offspring and reversed these changes. The results show that supplementation with α-KG during pregnancy, via restoring KDM5 activity, blocks prenatal arsenic exposure-induced cognitive dysfunction in adult male offspring through reprogramming of autophagic processes in developing brain. Our findings provide new insights into the neurodevelopmental damage caused by prenatal arsenic exposure.",Experimental neurology,2025
40440895,Prenatal arsenic exposure disrupts placental angiogenesis by altering Pdgfb promoter epigenetic modification.,"Abnormal placentation causes adverse pregnancy and birth outcomes. This study aimed to explore the influence of prenatal arsenic (As) exposure on placental angiogenesis and its mechanism. Dams were orally administered with NaAsO<sub>2</sub> throughout pregnancy. HTR8/SVneo cells were used to establish an in vitro model. RNA-sequencing was performed to identify key regulators. The methylation and hydroxymethylation levels of key regulators were detected. Metabolomics was used to find the potential mechanism. The results showed that As exposure reduces the diameter and number of placental vascular in mice, and weakens endothelial-like tube formation ability in HTR8/SVneo cells. RNA-sequencing identified platelet-derived growth factor b (Pdgfb) as a critical regulator. Mechanistically, As exposure downregulates PDGFB expression, which was attributed to alteration of Pdgfb methylation and hydroxymethylation by inhibiting TET activity. Metabolomics indicated that As exposure downregulates TCA-cycle metabolite α-ketoglutarate (α-KG), probably reason for TET activity inhibition. Mice and cells supplementation with α-KG ameliorates As-induced alteration of Pdgfb methylation and hydroxymethylation, and improves As-induced the weakening of angiogenic ability, and prevents As-induced fetal growth restriction in mice. In case-control study, maternal serum α-KG content and placental PDGFB content were negatively correlated with the urinary As concentration, while placental PDGFB content was positively correlated with birth weight. Collectively, prenatal As exposure impairs placental angiogenesis through altering Pdgfb epigenetic programming.",Journal of hazardous materials,2025
40426716,Associations of Prenatal Socioeconomic Status and Childhood Working Memory: A Structural Equation Modeling Approach.,"To determine if prenatal socioeconomic status (SES) is associated with childhood working memory (WM), we constructed a more precise, integrative measure of WM using variables from multiple tasks that may provide a more representative measure of WM.","Children (Basel, Switzerland)",2025
40398698,"Prenatal exposure to arsenic, umbilical cord blood DNA methylation, and child neurodevelopment: A prospective birth cohort study.","Prenatal Exposure to Arsenic (As) is associated with child neurodevelopment disorders. However, the specific mechanisms involved remain unclear. This work intends to investigate the associations between prenatal As exposure and epigenome-wide Deoxyribo Nucleic Acid methylation (DNAm) and evaluate the role of DNAm in moderating the association between prenatal As exposure and child neurodevelopment. An As-related epigenome-wide DNAm association analysis was performed using robust linear models, and mediation analysis was further applied to explore potential DNAm mediators. Robust linear models were applied to perform an epigenome-wide association study (EWAS) for DNAm related to As exposure. Mediation analysis was subsequently conducted to explore potential DNAm mediators. The mental development index (MDI) score was found to be inversely associated with urinary As levels during the third trimester [β = -3.52, 95 % CI: -6.34, -0.71]. A total of 48 differential DNAm locations and 4 differentially methylated regions were found to be associated with urinary As concentration. Three cytidylyl phosphate guanosine positions (annotated to ARMC5, KIAA1217, and intergenic region, mediated proportion is around 30 %) mediated the association between urinary As and a reduction of MDI score (P < 0.05). Our findings indicated adverse effects of prenatal As exposure on child neurodevelopment, and specific DNAm played the role of partial mediator.",Environmental research,2025
40376064,"Prenatal exposure to barium and arsenic and the odds of congenital heart defects in offspring: a nested case-control study within a birth cohort in Lanzhou, China.","Previous studies have identified that exposure to heavy metals increases the prevalence of congenital heart defects (CHDs); however, limited information exists regarding the association between combined exposure to barium (Ba) and arsenic (As), and CHDs. This study aims to investigate the association between prenatal exposure to Ba and As (both independently and in combination) and the risk of CHDs in offspring.",Frontiers in public health,2025
40305519,"Effects of prenatal lead, mercury, cadmium, and arsenic exposure on children's neurodevelopment in an artisanal small-scale gold mining area in Northwestern Tanzania using a multi-chemical exposure model.","An estimated 250 million children under five fail to reach their cognitive development potential in Africa. Growing evidence suggests reduced neurodevelopments for children from environmental exposures, yet research on this topic in Sub-Saharan Africa remains limited. This study examined the effects of multi-chemical prenatal exposure to heavy metals on developmental milestones for children aged 3-4 in artisanal and small gold mining areas in northwestern Tanzania. This longitudinal follow-up study of children whose mothers were enrolled in the Tanzania Mining and Health Cohort in Geita District in 2015 were assessed at 3-4 years of age for the current study between June 2019 - June 2020. Developmental outcomes (cognitive, social, motor, and language skills) were assessed using the Malawi Developmental Assessment Tool (MDAT). A quantile g-computation model evaluated the linkage between multi-chemical exposures and developmental milestones. Of the 310 children in the follow-up, a majority had at least one form of developmental impairment (50.7%; n = 157) across four domains: gross motor (20.3%), fine motor (23.9%), language (28.3%), and social skill (16.2%). Increased Pb, Hg, Cd, and As exposure jointly reduced gross motor by 17.78% (aPR = 0.822; 95% CI: 0.6994, 0.966). Joint exposure to these heavy metals decreased language ability by 55.36% (aPR = 0.446; 95% CI: 0.313, 0.636) and decreased general developmental milestones by 13.36% (aPR = 0.866; 95% CI: 0.747,1.005). However, the combined effect on the fine motor (aPR = 0.943; 95% CI: 0.754, 1.180) and social skills 6.71% (aPR = 1.067; 95% CI: 0.694, 1.641) were not statistically significant. Exposure to heavy metals while in utero reduced children neurodevelopmental milestones at 3-4 years of age. The cumulative impact of Pb, Hg, Cd, and As was significant for gross motor, language ability, and general impairment. The independent effects of Pb and Hg were amplified beyond what would be expected under the additive assumption with Cd and As, suggesting synergistic effects.",PLOS global public health,2025
40302182,Characteristics of Global Methylation Changes in F1 Mice Sperm DNA Induced by Gestational Arsenic Exposure Are Re-Established in F2 Somatic Cells but Not in F2 Germ Cells.,"Gestational exposure to chemicals has been reported to transmit epigenetic modifications of germ cells not only to somatic cells but also to the germ cells of the next generation, resulting in adverse effects. Arsenic is one of the environmental chemicals of greatest concern, but it is not precisely clarified whether and how epigenetic modifications of F1 sperm caused by gestational exposure are transmitted to the next generation of somatic cells and germ cells. In the present study, we examined the effects of arsenic exposure during gestation on DNA methylation in germ line and somatic cells of the F2. The DNA methylome of F2 sperm was analyzed by reduced representation bisulfite sequencing (RRBS) and compared to that of F2 liver and testis. We found that F2 liver and testis DNA from the arsenic group exhibited the decrease in global DNA methylation levels and bias of DMC distribution toward hypoDMC observed in F1 sperm DNA which we have previously reported, but F2 sperm DNA did not exhibit those characteristics. These studies suggest that the characteristics of epigenetic modifications in F1 sperm induced by gestational arsenic exposure are reestablished in F2 somatic cells but not in F2 germ cells.",Genes to cells : devoted to molecular & cellular mechanisms,2025
40252729,Content of selected nutrients and heavy metals in prenatal multivitamins and minerals: an observational study.,"Increasing consumer reliance on prenatal multivitamins and minerals (PMVMs) underscores the importance of ensuring their quality and safety. Adequate choline and iodine intakes during pregnancy are crucial for fetal development, yet discrepancies between labeled and actual content in PMVM products pose significant health risks. Additionally, the potential presence of toxic heavy metals, such as arsenic, lead, and cadmium, raises concerns about potential adverse health effects.",The American journal of clinical nutrition,2025
40226968,Dose-Dependent Hepatotoxicity in Wistar Rat Neonates From Early-Life Arsenic Exposure.,"Arsenic, a highly toxic heavy metal widely found in the environment, is a known carcinogen and toxin. Our study examined the effects of sodium arsenite on Wistar rat neonates exposed during gestation and weaning periods. The pregnant and weaning rats were given the low dose (LDG), median dose (MDG), and high dose (HDG) daily as 8.2, 12.3, and 16.4 mg/kgbw of NaAsO<sub>2</sub>, respectively. The results revealed that despite not affecting litter size, gestation index, or immediate postnatal observations, prolonged exposure to high doses of sodium arsenite led to increased liver weights, indicating potential liver stress or damage. Arsenic accumulation in liver tissues was significant, and histological examinations revealed liver damage, vascular congestion, and inflammation. Elevated levels of ALT, AST, ALP, and GGT were observed in arsenic-exposed groups during liver function tests, indicating hepatocellular injury and impaired function. Exposure to arsenic led to a dose-dependent decline in the mRNA expression levels and activity of antioxidant enzymes, including GST, GR, GPx, SOD, and CAT, showing that oxidative stress is present. Furthermore, LPx levels were increased. Metallothionein gene expression was upregulated, indicating a protective response against arsenic toxicity. Our findings underscore the risks associated with gestational and weaning exposure to sodium arsenite, providing insight into potential mechanisms behind arsenic-induced health issues and highlighting the importance of understanding these risks during critical developmental stages.",Journal of biochemical and molecular toxicology,2025
40137542,Arsenic Exposure During Pregnancy and Childhood: Factors Explaining Changes over a Decade.,"Arsenic chronic exposure, particularly in its inorganic form, represents a significant public health concern. This study was conducted in Arica, the northernmost city in the country, whose inhabitants have been exposed to inorganic arsenic both naturally through drinking water and anthropogenically due to a toxic waste disposal site. We explored changes in inorganic arsenic levels in a cohort of pregnant women and their children over a decade, identifying exposure trends and their determinants. We used data on arsenic exposure through maternal urine samples during pregnancy, collected by the Health Authority between 2013 and 2016 (measurement 1), and followed up with assessments of their children in 2023 (measurement 2). Temporal changes in inorganic arsenic concentration were analyzed using the Wilcoxon Signed-Rank test, and a mixed linear regression model was employed to determine which factors contributed to urinary inorganic arsenic levels. We did not observe significant differences in mean arsenic concentrations between the two-time points (<i>p</i> = 0.4026). The mixed linear regression model revealed that children consuming bottled water had 8.3% lower urinary inorganic arsenic concentrations than those drinking tap water (95% CI: -15.36 to -0.54%). Additionally, children from ethnic groups had 8.64% higher inorganic arsenic concentrations (95% CI: 0.49 to 17.5%), while those with caregivers with higher education showed a 13.67% reduction (95% CI: -25.06 to -0.56%). Despite mitigation efforts, these findings underscore the ongoing risk of inorganic arsenic exposure among vulnerable populations. They further emphasize the importance of addressing natural arsenic contamination in water and implementing targeted interventions to reduce disparities associated with socioeconomic and demographic factors.",Toxics,2025
40125474,Chronic exposure of arsenic among children in Asia: A current opinion based on epidemiological evidence.,"The health effects of arsenic (As) exposure are a major global environmental issue affecting millions of people around the globe. Although adult epidemiological studies on As-induced health consequences have been extensively reviewed, but not much comprehensive review has been done targeting children. In this epidemiological review, 64 human subject studies on children were identified after applying exclusion criteria, which addressed an array of health effects of As exposure in early life stages in South and Southeast (S-SE) Asian countries, where a great variability in As exposures has been reported. The present review identified neurocognitive impairment linked to As exposure in early life stages. In utero and childhood As exposures were also associated with genetic and metabolic alteration, elevated pneumonia risk, and skin lesions in several populations in S-SE Asia. Significant associations of As with epigenetic changes, DNA damages, abnormal birth outcomes, and elevated mortality were also reported in epidemiological studies. The findings of this review article may help public health policymakers and clinicians develop early-life intervention strategies to reduce the burden of diseases in As-exposed populations.",Current opinion in environmental science & health,2024
40085388,Prenatal arsenic exposure alters EZH2/H3K27me3 to induce RKIP/NF-kB/ERK1/2-mediated early-onset kidney disease in mouse offspring.,"The rising incidences of chronic kidney disease (CKD) and renal failure are a major public health concern. Arsenic, a widespread water contaminant and environmental toxicant, is well-known to contribute to kidney disease in adults. However, its long-term effects on kidney health following early-life exposure remain poorly understood. Therefore, we investigated the impact of prenatal arsenic exposure on kidney health in offspring using a BALB/c mouse model. 0.4 ppm arsenic, an environmentally relevant dose, was orally administered to female mice from 15 days before mating until delivery. Structural and ultrastructural changes in the kidney were assessed using histopathology and transmission electron microscopy, while markers of inflammation, kidney injury, and function were evaluated through Luminex assays, FITC-sinistrin-based glomerular filtration rate (GFR), real-time PCR, immunohistochemistry, and immunoblotting. Notably, arsenic-exposed offspring showed reduced body weight, crown-to-rump length, inflammation, and early signs of kidney injury on postnatal day 2 (PND-2). By 6 weeks, examination showed tubular dilation, mitochondrial damage, vacuolated cytoplasm, and basement membrane disruption were more evident in the kidneys. Furthermore, elevated levels of kidney injury markers, including kidney injury molecule-1, beta-2 microglobulin, cystatin C, and tissue inhibitor of metalloproteinase 1, were detected in urine. These changes were accompanied by increased serum creatinine and a decline in kidney function, as evidenced by reduced GFR levels. Proinflammatory cytokines (TNF-α, IL-6) and NF-κB were significantly elevated along with an increased immune cell infiltration in the kidneys of arsenic-exposed offspring. Further analysis showed increased mesenchymal markers fibronectin and alpha-smooth muscle actin and reduced epithelial marker E-cadherin in the kidneys, indicating fibrosis and epithelial-to-mesenchymal transition. Mechanistic studies revealed that arsenic exposure leads to increased levels of epigenetic regulators enhancer of zeste homolog 2 (EZH2) and histone H3 lysine 27 trimethylation (H3K27me3), which were associated with the activation of inflammatory pathways, fibrosis, and impaired kidney function. Overall, our findings demonstrate that only developmental exposure to arsenic can cause dysregulation of EZH2 and H3K27me3, driving inflammation and renal fibrosis. These changes ultimately lead to chronic kidney disease in offspring, highlighting a critical window of vulnerability for arsenic toxicity with significant implications for long-term kidney health.",Environmental science and pollution research international,2025
